classe	slug	id	nom	type	contrat	analyse	limite
Sacrieur	sacrier	5053	Pacte de sang	passif	PV maximum −30 %. Passer sous 20 % donne 15 % des PV max en armure, une fois par tour ; repasser au-dessus de 40 % donne aussi 15 %, une fois par tour.	Le moteur récompense des traversées de seuils, contre une capacité d'absorption brute réduite.	Être déjà sous le seuil ne suffit pas. Résolution d'un coup mortel et interaction entre compteurs à reproduire.
Féca	feca	6991	Maître des boucliers	passif	Les boucliers déclenchent leur effet immédiatement, mais leur délai sur la cible augmente de deux tours. Goutte reprend le dernier retrait PA/PM ; Lame de fond le dernier élément subi, Feu par défaut.	Troque répétition et anticipation contre réponse immédiate, tout en rendant l'historique de cible pertinent.	Ordre de mémorisation de l'attaque et de déclenchement à certifier ; aucune suppression du délai de cible.
Féca	feca	6996	Armure de combat	passif	Armure reçue par le Féca −100 % ; la moitié des dégâts infligés aux alliés devient de l'armure.	Oriente vers la protection d'autrui et rend le coût du soutien visible sur la survie propre.	Base de conversion avant/après résistances et coexistence avec les dégâts alliés non suffisamment explicites pour un bilan net.
Osamodas	osamodas	7331	Guerrier invocateur	passif	Dégâts infligés du maître +20 % ; dégâts et soins de l'invocation −20 %.	Déplace la contribution vers le maître. La même fiche peut augmenter ou réduire le total suivant la répartition des actions.	Les calculs isolent ces bonus sans autres modificateurs ; ils ne reproduisent pas toute la formule des dommages du jeu.
Osamodas	osamodas	7343	Art du dressage	passif	Deux créatures différentes peuvent coexister ; leurs dégâts reçus sont transmis à l'Osamodas. Malinvocation dure un tour ; deux exemplaires de la même créature restent interdits pour ce maître.	Deux positions et deux répertoires s'achètent par une vulnérabilité partagée.	Ordre des résistances, portée du lien et coefficient exact de transmission ne sont pas extrapolés.
Enutrof	enutrof	8272	Échange asynchrone	passif	En Phorzerker, la maîtrise mêlée se base sur la maîtrise distance ; portée maximale des élémentaires réduite de deux.	Un investissement d'équipement peut alimenter un autre mode, sans demander deux statistiques concurrentes.	Copie/conversion ne signifie pas addition des deux maîtrises ; ordre avec bonus temporaires à certifier.
Enutrof	enutrof	8277	Protection minérale	passif	Finir sur un gisement le détruit et donne 100 résistance pour un tour ; ce gisement ne peut être excavé pendant un tour.	Consomme une opportunité spatiale future pour survivre maintenant.	Ne pas confondre destruction d'une case et suppression de tous les gisements.
Sram	sram	5124	Retenue	passif	L'invisibilité ne peut plus viser un allié ; celle du Sram est perdue sur un sort de dégâts directs coûtant au moins quatre PA.	Autorise la préparation par petites attaques, contre la flexibilité du camouflage allié.	Seuil de coût avant/après réduction et autres causes de révélation à contrôler ; ce n'est pas une immunité générale.
Sram	sram	8511	Assaut létal	passif	Modifie la Marque létale du Double : une mort causée par le Sram rend deux PA, téléporte le Sram derrière le porteur et y transfère l'Hémorragie de la victime.	La victime devient un relais vers une seconde cible ; les positions et l'ordre des exécutions portent le combo.	Validité de la destination, plafond et provenance des mises à mort doivent être établis avant toute boucle chiffrée.
Iop	iop	5103	Mini-Bond	passif	Bond coûte deux PA et un PW, avec portée fixe 1–2 et trois utilisations par tour.	Fractionne l'accès à la mêlée en déplacements courts qui consomment deux budgets.	Trois lancements ne prouvent pas un trajet libre de six cases ; destinations et obstacles restent déterminants.
Iop	iop	8415	Démonstration	passif	Fin de tour : chaque niveau de Courroux rend un PW et donne 15 Préparation ; supprime la récupération immédiate de PW à 100 Concentration.	Déplace la récompense après le tour et augmente la valeur de préparer le suivant.	Acquisition et plafond de Courroux non reconstruits ici ; ne pas créditer la réserve avant la fin du tour.
Crâ	cra	6955	Paradoxe du Crâ	passif	Insaisissable demande désormais au moins un ennemi à trois cases ou moins.	Inverse la condition d'un même moteur et rend possible une recherche volontaire de proximité.	Les autres propriétés d'Insaisissable ne sont pas redéfinies par ce seul passif.
Crâ	cra	7795	Pointe protectrice	passif	En fin de tour, tout Affûtage est consommé et converti en résistance à raison d'un point par niveau.	L'investissement offensif peut être dépensé pour passer une fenêtre de menace.	Durée décrite pour le tour à venir ; plafond d'Affûtage et arbitrage avec d'autres consommateurs à vérifier.
Sadida	sadida	8152	Croissance accélérée	passif	Les poupées gagnent un niveau d'Engrainé supplémentaire en fin de tour ; repasser en graine via Engrènement consomme tous leurs niveaux.	L'accélération de croissance rend plus cher le recyclage d'une installation déjà développée.	Ne pas attribuer cette croissance supplémentaire aux graines ; empilement avec Terrain fertile non certifié.
Sadida	sadida	8151	Terrain fertile	passif	Près de son Arbre, poupées et graines gagnent un niveau supplémentaire d'Engrainé en fin de tour ; hors de cette zone elles n'en gagnent pas.	Le territoire protégé devient la condition de progression des unités.	Rayon exact non décodé ; impossible de calculer une couverture de grille fiable à partir de cette lecture seule.
Eniripsa	eniripsa	5451	Délai	passif	La moitié du soin direct arrive immédiatement, l'autre au début du tour du bénéficiaire via Délai.	Même montant nominal, mais capacité de sauver une cible différente suivant l'initiative ennemie.	Plafond PV, résistance aux soins et autres modificateurs aux deux instants à vérifier.
Eniripsa	eniripsa	628	Médecin sans barrière	passif	Propagateur se construit par les dégâts plutôt que par les soins ; le prochain soin monocible le consomme pour ajouter un soin Lumière lié à ses niveaux.	L'attaque prépare le secours, au lieu d'opposer deux tours sans relation.	Coefficient par niveau non décodé ; aucun rendement dégâts/soins inventé.
Zobal	masqueraider	7094	Bas les masques	passif	Changer vers un masque différent rend deux PA, une seule fois par tour.	Le premier changement peut financer une autre action ; répéter le changement n'est pas une source illimitée.	Vérifier le moment du remboursement et le coût réel du changement avec les autres passifs.
Zobal	masqueraider	7105	Virevolte	passif	Dégâts infligés de côté +25 % ; de face −25 %.	Le joueur cherche un angle précis ; une carte étroite réduit la valeur effective du passif.	Le dos n'est pas déclaré modifié ; calculs sans autres bonus ni multiplicateurs d'orientation.
Ouginak	ouginak	7554	Chasse ouverte	passif	Capacité de Rage réduite de dix ; attaquer la Proie fait gagner Rage et Traqueur immédiatement.	Échange la taille de réserve contre une conversion plus rapide pendant le tour.	Quantités gagnées par événement et autres conditions ne sont pas déduites de ce texte.
Ouginak	ouginak	7555	Digestion	passif	Dégâts indirects −15 % ; un déclenchement indirect qualifié donne quatre Rage et soigne 4 % des PV max, au plus cinq fois par tour.	Sacrifie du rendement offensif pour entretenir une ressource et la survie.	Une fenêtre de cinq déclenchements est calculée ; périmètre du compteur entre tours de combattants, soin excédentaire et sources qualifiées à contrôler.
Steamer	foggernaut	6933	Patience	passif	Atteindre le maximum de PS donne deux PS supplémentaires non régénérables, qui permettent de dépasser temporairement ce maximum ; PW maximum −2 au début du combat.	La préparation d'une réserve permet une pointe plus haute contre une réserve secondaire réduite.	Conditions de nouveau déclenchement et réinitialisation non établies ; pas de répétition infinie supposée.
Steamer	foggernaut	6932	Substitution mécanique	passif	Un sort Eau visant la tourelle échange sa place avec celle du Steamer ; un sort Terre attire d'une case par PA dans la croix affichée 7. Première activation du tour : deux PA rendus. Invocation/amélioration de tourelle : coût un PW.	Le même sort sert de commande spatiale et le premier usage est moins coûteux.	Signification géométrique exacte de croix 7 et interaction des coûts avec autres passifs à vérifier.
Eliotrope	eliotrope	7205	Espace-temps	passif	Les portails de toute l'équipe durent deux tours au lieu de persister indéfiniment.	La durée devient une contrainte commune de planification, y compris pour les partenaires.	Aucun bénéfice compensatoire autonome n'est exposé ; ne pas en inventer ni conclure à l'inutilité sans les innés.
Eliotrope	eliotrope	5056	Disciple du portail	passif	Exaltation crée un portail sous le héros, immobile et détruit en fin de tour ; peut dépasser la limite de quatre. Portail ne peut plus être lancé pendant le reste du tour.	Ouvre un départ temporaire au prix de la liberté de reconstruire le réseau ensuite.	Interaction avec d'autres plafonds, notamment Portail céleste, et restitution de ressources à certifier.
Xélor	xelor	758	Maître du cadran	passif	Quand l'heure accomplit un tour complet, les effets différés s'activent également immédiatement ; exemples cités : Sinistro, Sablier, Contre la montre.	L'horloge transforme une réserve d'effets futurs en fenêtre de résolution.	La description ne prouve pas l'annulation de l'échéance initiale : ne pas confondre déclenchement supplémentaire et simple avance dans le temps.
Xélor	xelor	7196	Assimilation	passif	PW maximum −6 ; tuer un combattant, y compris allié ou invocation, rend deux PW.	Une réserve plus petite est renouvelable par élimination ; les cibles sacrifiables ont une valeur de ressource.	Le plafond de PW reste applicable. Cette éligibilité de ressource n'autorise pas un butin sur les invocations dans Catabase.
