id	contrat	analyse
JUDGEMENT	Si PV de la cible ≤30→40, les fixe à zéro.	Suppression sous seuil qui n’est pas une attaque. Ignore la comparaison dégâts/blocage et ne profite pas des multiplicateurs d’attaque des postures.
JUSTLUCKY	Scry 1→2, B2→3, D3→4 ; coût 0.	Petit outil de sélection qui fait plusieurs choses. Les déclencheurs de Scry et les bonus de statistiques peuvent compter plus que les chiffres de base.
LESSONLEARNED	D10→13 ; Fatal : améliore définitivement une carte aléatoire du deck ; Épuisement.	Relie dernier coup et progression de run. L’amélioration du deck ne rétroagit pas automatiquement sur sa copie déjà engagée dans ce combat.
LIKEWATER	Fin de tour en Calm : B5→7.	Récompense une posture de sécurité. Entrer en Calm puis la quitter avant la fin ne suffit pas ; le timing est la condition.
MASTERREALITY	Les cartes créées pendant le combat sont améliorées ; coût 1→0.	Amplifie les producteurs et leurs descendants. Ne réaméliore pas toutes les cartes déjà piochées ou récupérées comme si elles étaient nouvelles.
MEDITATE	Récupère de défausse 1→2 cartes, les retient ; entre en Calm ; termine le tour.	Programme le tour suivant tout en sortant du risque. Synergie d’attente avec Establishment ; aucun autre jeu de carte normal après sa résolution.
MENTALFORTRESS	Chaque changement de posture donne B4→6.	Convertit mobilité de posture en protection. Entrer dans la même posture ne compte pas comme changement ; favorise les allers-retours.
NIRVANA	Chaque Scry donne B3→4.	La sélection devient défense. Compte le déclenchement de Scry, pas le nombre de cartes jetées ; ne demande pas de tout défausser.
OMNISCIENCE	Choisit une carte de la pioche, la joue deux fois et l’épuise ; s’épuise ; coût 4→3.	Tutorat et duplication réunis, très chers avant amélioration. Une seconde Omniscience choisie peut développer une chaîne de préparation.
PATHTOVICTORY	Pressure Points : ajoute Mark 8→11 à la cible, puis chaque ennemi marqué perd autant de PV que sa propre marque.	Croissance cumulative contournant le blocage. Faible connexion aux postures d’attaque ; disperser les marques et concentrer la mort sont deux choix différents.
PERSEVERANCE	Retain ; B5→7 ; chaque rétention augmente sa valeur de 2→3 pour le combat.	Prépare une grosse défense future. La laisser attendre peut coûter une place et priver le tour actuel d’une protection nécessaire.
PRAY	Mantra +3→4 ; mélange Insight dans la pioche.	Prépare à la fois un seuil de posture et une future pioche. Les deux investissements sont différés et doivent coïncider avec une attaque disponible.
PROSTRATE	Mantra +2→3 ; B4 ; coût 0.	Progresse vers Divinity tout en défendant. Le bonus de Mantra change les seuils de cycle sans augmenter la défense immédiate.
PROTECT	Retain ; B12→16 pour 2 énergie.	Réponse fiable que l’on peut garder jusqu’à une grosse intention. Plus stable, mais plus chère qu’une défense ponctuelle à meilleur rendement.
RAGNAROK	D5→6, cible aléatoire par impact, 5→6 impacts.	Double axe d’amélioration : puissance et nombre de coups. Force, Vigor et postures rendent la rafale explosive ; le ciblage aléatoire limite le contrôle.
REACHHEAVEN	D10→15 ; mélange Through Violence dans la pioche.	Attaque en deux étapes avec récompense gratuite ultérieure. Le parent amélioré ne renforce pas directement le jeton créé.
SANCTITY	B6→9 ; si dernière carte jouée du combat était une compétence, pioche 2.	Défense et circulation sous contrainte d’ordre. Peut exploiter la dernière carte du tour précédent, ce qui enrichit la préparation.
SANDSOFTIME	Retain ; D20→26 ; coût initial 4, réduit de 1 à chaque rétention pour le combat.	Réserve offensive qui devient abordable en attendant. Demande un moyen de survivre et une fenêtre de posture au moment de la dépense.
SASHWHIP	D8→10 ; si dernière carte jouée du combat était une attaque, Faible 1→2.	Réduction défensive intégrée à une chaîne d’attaques. La condition empêche de toujours la jouer comme première réponse autonome.
SCRAWL	Pioche jusqu’à une main pleine de 10 ; Épuisement ; coût 1→0.	Recharge exceptionnelle après avoir vidé sa main. Les cartes retenues limitent le nombre réellement pioché ; l’énergie restante décide du potentiel.
SIGNATUREMOVE	D30→40 ; jouable uniquement si c’est la seule attaque en main.	Puissance avec condition de composition instantanée. Un producteur de Smite peut gêner la condition qu’il semblait soutenir offensivement.
SPIRITSHIELD	B3→4 par autre carte restant en main à sa résolution.	Valorise une grande main retenue. Jouer d’autres cartes d’abord réduit le blocage ; Dextérité ne doit pas être ajoutée arbitrairement à chaque carte comptée.
STRIKE_P	D6→9.	Les postures lui donnent un rendement supérieur au même texte dans d’autres classes. Exemple de carte identique dont le contexte change la valeur.
STUDY	Fin de tour : mélange Insight dans la pioche ; coût 2→1.	Produit du futur accès, mais exige de trouver et jouer les jetons. Sa lenteur peut être excessive pour une classe déjà capable de terminer vite.
SWIVEL	B8→11 ; la prochaine attaque jouée sera gratuite en énergie.	Préfinance une attaque chère, même lors d’un tour suivant si l’effet reste disponible. Une petite attaque jouée trop tôt consomme l’avantage.
TALKTOTHEHAND	D5→7 ; applique à la cible un effet donnant B2→3 par impact d’attaque ultérieur reçu ; Épuisement.	Transforme une cible en support défensif, surtout avec rafales. L’application est un debuff : Artefact et changement de phase peuvent l’empêcher ou l’effacer.
TANTRUM	D3, 3→4 impacts ; entre en Wrath puis se remélange dans la pioche.	Entrée de posture conçue pour revenir rapidement. Les dégâts précèdent l’entrée ; l’amélioration ajoute un impact, pas un dégât par impact.
THIRDEYE	B7→9 ; Scry 3→5.	Défend et prépare les prochaines cartes. L’amélioration augmente fortement l’information et le filtrage sans fournir immédiatement une nouvelle carte.
VAULT	Prend un nouveau tour joueur avant les ennemis ; termine celui-ci ; Épuisement ; coût 3→2.	Achète pioche et énergie renouvelées sans attaque ennemie intermédiaire. Les déclencheurs de début/fin de tour joueur continuent : ce n’est pas une pause de toutes les horloges.
VENGEANCE	Simmering Fury : au début du prochain tour, entre en Wrath et pioche 2→3.	Programme une fenêtre offensive avec accès supplémentaire. L’entrée obligatoire peut devenir dangereuse si aucune sortie ou victoire n’est disponible.
VIGILANCE	B8→12 ; entre en Calm.	Défense et installation d’une réserve à la sortie. Le coût 2 rend les boucles différentes d’un accès à Calm coûtant 1.
WALLOP	D9→12 ; gagne du blocage égal aux dégâts non bloqués infligés.	Une amplification offensive devient aussi défense. Le blocage adverse réduit les deux bénéfices ; il faut distinguer dégâts réels et sur-dégâts.
WAVEOFTHEHAND	Ce tour, chaque gain de blocage applique Faible 1→2 à tous.	Relie de nombreuses petites défenses à une réduction durable des menaces. Les applications répétées peuvent retirer des Artefacts avant de poser Faible.
WEAVE	D4→6 ; coût 0 ; revient de défausse en main lors d’un Scry.	Fait de la sélection une source de rejouage. Peut revenir après avoir été jetée par ce Scry ; demande des places en main.
WHEELKICK	D15→20 ; pioche 2.	Gros impact avec accès supplémentaire, surtout dans une posture offensive. Le coût 2 oblige à conserver de quoi jouer les cartes trouvées.
WINDMILLSTRIKE	Retain ; D7→10 ; chaque rétention ajoute D4→5 pour le combat.	Accumulation d’un futur coup, différente d’un gain par rejouage. L’attente doit être payée en survie et en occupation de main.
WIREHEADING	Foresight : début de tour, Scry 3→4.	Filtrage avant la pioche normale, donc mains futures plus fiables. Prépare aussi Weave/Nirvana sans coût répété de carte.
WISH	Choisit Armure plaquée 6→8, Force 3→4, ou or 25→30 ; Épuisement ; coût 3.	Relie combat et économie avec un choix explicite. Prendre l’or sacrifie une protection ou une accélération immédiate ; les copies peuvent déformer cette économie.
WORSHIP	Mantra +5 ; amélioration : Retain.	La moitié d’un seuil de Divinity. Retain permet de déclencher le seuil avec une main offensive, pas seulement dès qu’on trouve la carte.
WREATHOFFLAME	Vigor 5→8 : bonus de dégâts de la prochaine attaque, sur chaque impact de cette attaque.	Préparation exceptionnelle pour une rafale ; une petite attaque intermédiaire dépense tout le bonus. Ne multiplie pas les dégâts des orbes ni de Mark.
