id	contrat	analyse
EVOLVE	Piocher un statut fait piocher 1→2 cartes.	Compense puis valorise l’encombrement des statuts. Les statuts ajoutés directement en main ne déclenchent pas cette pioche.
EXHUME	Récupère en main une carte de la pile épuisée, sauf un Exhume ; Épuisement ; coût 1→0.	Réutilise une réponse exceptionnelle. La restriction empêche une récupération réciproque triviale ; ne récupère pas un pouvoir déjà installé.
FEED	D10→12 ; Fatal : PV max +3→4 ; Épuisement.	Rend l’ordre des morts économiquement important. Retarder la victoire pour le dernier coup n’est rentable que si le risque reste inférieur au gain futur.
FEEL_NO_PAIN	Chaque carte épuisée produit B3→4.	Protège pendant que le deck se simplifie. Fonctionne aussi avec Éthérée, mais les blocages tardifs n’annulent pas un dégât déjà subi.
FIEND_FIRE	Épuise le reste de la main ; D7→10 par carte épuisée ; s’épuise aussi.	La main devient une munition. Force s’applique par impact ; les cartes piochées ensuite via Dark Embrace ne sont pas des victimes initiales supplémentaires.
FIRE_BREATHING	Piocher statut ou malédiction produit D6→10 à tous les ennemis.	Convertit une nuisance en attaque sans énergie ; réclame encore une défense et un moyen de traverser les mains encombrées.
FLAME_BARRIER	B12→16 ; riposte D4→6 à chaque impact d’attaque reçu ce tour.	Réponse aux rafales ennemies. La riposte n’exige pas de perdre des PV ; elle ne transforme pas une perte de PV hors attaque en déclencheur.
FLEX	Force +2→4 ce tour, puis perte du même montant en fin de tour.	Fort quand plusieurs impacts suivent. Un Artefact préalable peut supprimer la dette ; l’amélioration seule ne laisse pas de Force permanente.
GHOSTLY_ARMOR	B10→13 ; Éthérée.	Défense dense quand nécessaire, qui disparaît sinon. Peut déclencher l’épuisement sans dépenser d’énergie, mais après les décisions du tour.
HAVOC	Joue gratuitement la carte du dessus de pioche, puis l’épuise ; coût 1→0.	Valorise Headbutt/Warcry pour maîtriser le résultat. Une carte conditionnelle ou dangereuse peut gâcher l’automatisme ; un pouvoir joué s’installe normalement.
HEADBUTT	D9→12 ; remet une carte choisie de défausse au-dessus de la pioche.	Programme la prochaine pioche, sans donner immédiatement la carte. Utile pour rejouer une pièce de croissance ou contrôler Havoc.
HEAVY_BLADE	D14 ; applique la Force 3→5 fois au calcul.	Une grosse attaque à coefficient de Force élevé, distincte d’une rafale : moins de réactions adverses par impact, mais moins de déclencheurs favorables.
HEMOKINESIS	−2 PV ; D15→20.	Dégâts concentrés peu chers en énergie, financés par la santé. Peut prévenir plus de dégâts qu’il n’en coûte en abrégeant le combat.
IMMOLATE	D21→28 à tous ; ajoute un Burn en défausse.	Paie sa puissance par une nuisance future. Si le combat se termine avant de la piocher, le coût différé ne se matérialise pas.
IMPERVIOUS	B30→40 ; Épuisement.	Réponse ponctuelle à une grosse menace ; utile avec conservation du blocage. L’épuisement évite de repiocher une défense excessive aux tours calmes.
INFERNAL_BLADE	Crée une attaque aléatoire en main, gratuite ce tour ; Épuisement ; coût 1→0.	Convertit une carte en option imprévisible. La réduction de coût concerne le tour, pas toute la run ni automatiquement les cartes à coût X.
INFLAME	Force +2→3 pour le combat.	Croissance immédiate sans attente, surtout rentable sur plusieurs impacts et plusieurs tours. Échelle modeste mais installation accessible.
INTIMIDATE	Faible 1→2 à tous ; coût 0 ; Épuisement.	Défend tout un groupe sans énergie, ou retire un Artefact. Une application trop précoce peut être gaspillée contre des intentions non offensives.
IRON_WAVE	B5→7 puis D5→7.	Petit compromis attaque/défense dans une pioche ; une carte d’attaque peut défendre même quand jouer une compétence est défavorable.
JUGGERNAUT	Chaque gain de blocage inflige D5→7 à une cible aléatoire.	Récompense le nombre de gains, pas leur taille. Relie les défenses répétées à l’offensive ; le hasard gêne la concentration des dégâts.
LIMIT_BREAK	Double la Force ; Épuisement retiré par amélioration.	Le passage à une carte recyclable permet une croissance exponentielle, mais seulement si de la Force positive existe et si le deck recircule.
METALLICIZE	Fin de tour : B3→4.	Défense récurrente sans nouvelle pioche ; n’est pas amplifiée comme le blocage directement produit par une carte avec Dextérité.
OFFERING	−6 PV ; +2 énergie ; pioche 3→5 ; Épuisement.	Achète simultanément des options et leur financement. Forte accélération ; le soin de fin de combat ne doit pas être compté deux fois pour la justifier.
PERFECTED_STRIKE	D6 + 2→3 par carte Strike pertinente encore dans le combat, incluant celle-ci ; hors pile épuisée.	Valorise un deck riche en Strike mais oppose croissance brute et épuration. Le tag interne importe davantage que la traduction du nom.
POMMEL_STRIKE	D9→10 ; pioche 1→2.	L’amélioration change surtout la circulation. Avec énergie suffisante, une attaque devient un moteur de pioche plutôt qu’un simple remplacement.
POWER_THROUGH	Ajoute 2 Wound en main ; B15→20.	La nuisance arrive tout de suite dans la main : nourriture pour Second Wind, mais pas déclencheur de pioche d’Evolve à cet instant.
PUMMEL	D2 répété 4→5 fois ; Épuisement.	Amplifie la Force par nombre d’impacts. Mauvais contre des ripostes ou protections par impact si la Force ne compense pas.
RAGE	Ce tour, chaque attaque jouée donne B3→5 ; coût 0.	Défense liée au nombre de cartes d’attaque, pas au nombre de coups de chaque carte. Nécessite encore de piocher des attaques.
RAMPAGE	D8 ; après usage, dégâts de cet exemplaire +5→8 pour le combat.	Croît avec les rejouages, pas avec les autres copies. Sa qualité dépend de la vitesse du cycle, pas seulement de son plafond théorique.
REAPER	D4→5 à tous ; soigne à hauteur des dégâts non bloqués infligés ; Épuisement.	La Force devient récupération de santé sur plusieurs cibles. Le sur-dégât ne doit pas être traité comme une réserve de soin illimitée.
RECKLESS_CHARGE	D7→10 ; ajoute Dazed dans la pioche ; coût 0.	Dette de pioche plus immédiate qu’un ajout en défausse. Peut alimenter Evolve/Fire Breathing/Feel No Pain.
RUPTURE	Chaque perte de PV causée par une carte donne Force +1→2.	Construit un moteur de sacrifice. Une attaque ennemie n’est pas un déclencheur équivalent ; prévenir totalement la perte peut supprimer le bénéfice.
SEARING_BLOW	D12 ; améliorable sans limite : +4, puis +5, +6… ; première amélioration D16.	Concentre les feux de camp sur un exemplaire. Le coût réel est de renoncer aux soins et aux améliorations des autres cartes.
SECOND_WIND	Épuise les non-attaques en main ; B5→7 par carte épuisée.	Transforme statuts, malédictions et compétences inutiles en défense. Nettoyage puissant, avec perte possible de réponses nécessaires plus tard.
SEEING_RED	+2 énergie ; Épuisement ; coût 1→0.	Gain net +1 puis +2, pas +2 puis +3. Transporte de l’énergie dans le tour au prix d’une pioche.
SENTINEL	B5→8 ; quand épuisée, +2→3 énergie.	A deux emplois concurrents : défendre normalement ou être sacrifiée pour financer une autre action. Le bénéfice spécial ne demande pas de la jouer.
SEVER_SOUL	Épuise les non-attaques en main ; D16→22.	Nettoie tout en frappant, mais ne multiplie pas ses dégâts par carte détruite. Différence essentielle avec Fiend Fire.
SHOCKWAVE	Faible et Vulnérable 3→5 à tous ; Épuisement.	Installe deux fenêtres complémentaires ; face à Artefact, deux applications distinctes comptent. Cher pour une rencontre déjà gagnée.
SHRUG_IT_OFF	B8→11 ; pioche 1.	Défend sans diminuer la taille de la main après résolution normale. Demande toujours l’énergie et peut être moins utile un tour sans menace.
SPOT_WEAKNESS	Si la cible prévoit une attaque : Force +3→4.	Récompense la lecture d’intention. Carte morte sans cible appropriée ; plusieurs ennemis augmentent parfois les occasions de la déclencher.
STRIKE_R	D6→9.	Référence offensive ; facile à utiliser mais sans préparation ni circulation. Reste un élément de Perfected Strike avant de devenir un candidat au retrait.
SWORD_BOOMERANG	D3, cible aléatoire à chaque impact, 3→4 impacts.	L’amélioration ajoute un déclenchement et une application de Force, pas un dégât à chaque coup. Répartir peut empêcher un meurtre prioritaire.
THUNDERCLAP	D4→7 à tous, puis Vulnérable 1 à tous.	Prépare les attaques du même tour. Avec une seule durée, ne promet pas une seconde main amplifiée au prochain tour joueur.
TRUE_GRIT	B7→9 ; épuise une carte aléatoire → choisie.	L’amélioration donne du contrôle : supprimer un statut sans risquer sa condition de victoire transforme sa fonction dans le deck.
TWIN_STRIKE	D5→7 deux fois.	Deux applications de Force, deux interactions par impact ; dommage de base fiable, mais ne possède pas la montée de Rampage.
UPPERCUT	D13 ; Faible 1→2 puis Vulnérable 1→2.	L’amélioration étend deux fenêtres de jeu. Ne change pas les dégâts directs ; se distingue d’un simple bonus chiffré d’attaque.
WARCRY	Pioche 1→2 ; replace une carte en main au-dessus de la pioche ; Épuisement ; coût 0.	Version normale sélectionne sans créer d’avantage net de main. Permet de conserver indirectement une réponse ou de préparer un automatisme.
WHIRLWIND	Coût X ; D5→8 à tous, X impacts.	Dépense l’énergie restante en une seule carte ; Force et nombre d’ennemis multiplient le rendement. Un coût X nul reste un cas pertinent avec Chemical X.
WILD_STRIKE	D12→17 ; mélange Wound dans la pioche.	Gros dégât immédiat avec dégradation possible dès ce cycle. Evolve peut compenser, mais l’attaque ne constitue pas seule un moteur de statuts.
