id	contrat	analyse
FORETHOUGHT	Place une carte choisie → autant que voulu au fond de la pioche ; gratuites jusqu’à leur prochain jeu ; coût 0.	Prépare une économie future au prix d’accès retardé. Diffère de Setup par sa destination et son nombre de cibles amélioré.
GOOD_INSTINCTS	B6→9 ; coût 0.	Défense immédiatement rentable en énergie, mais coût de pioche intact. N’assure aucune croissance sur un combat prolongé.
HANDOFGREED	D20→25 ; Fatal : or +20→25 ; ne s’épuise pas.	Transforme les morts éligibles en économie et peut être rejouée. Le risque de temporisation et l’exclusion des minions empêchent une lecture naïve du rendement.
IMPATIENCE	Si aucune attaque en main, pioche 2→3 ; coût 0.	Récompense une main jouée ou orientée compétences. Conditions à vérifier avant d’espérer une pioche de secours.
JACK_OF_ALL_TRADES	Crée 1→2 cartes incolores aléatoires en main ; coût 0 ; Épuisement.	Produit des options, pas forcément l’énergie pour les jouer. Les pools de génération excluent notamment certaines cartes de soin et spéciales.
MADNESS	Une carte éligible aléatoire en main passe à coût 0 pour le combat ; Épuisement ; coût 1→0.	Peut rendre possible une boucle, mais il faut contrôler les candidats. Le bénéfice dure plus qu’une gratuité de ce tour.
MAGNETISM	Début de tour : carte incolore aléatoire en main ; coût 2→1.	Moteur de création lent qui élargit les options. Ne garantit ni cohérence de build, ni place, ni financement.
MASTER_OF_STRATEGY	Pioche 3→4 ; coût 0 ; Épuisement.	Accès immédiat sans coût énergétique. Plus utile quand des cartes jouables attendent et que la main a assez d’espace.
MAYHEM	Début de tour : joue gratuitement la carte du dessus de pioche, cible aléatoire ; coût 2→1.	Économie automatique contre perte de contrôle. Dangereux avec sorties de tour, postures et dettes comme Blasphemy ; contrôle du dessus précieux.
METAMORPHOSIS	Crée 3→5 attaques aléatoires dans la pioche, gratuites pour le combat ; Épuisement.	Amorce une nouvelle offensive et nourrit All for One. Le hasard et le délai d’accès distinguent fortement cet effet d’une pioche.
MIND_BLAST	D égal à la taille de la pioche ; Innée ; coût 2→1.	Récompense le volume de deck en ouverture. Plus de cartes augmente ce coup mais peut dégrader les tours suivants ; compromis économique de construction.
PANACEA	Artefact +1→2 ; coût 0 ; Épuisement.	Protection proactive contre malus ennemi ou dette personnelle. Un mauvais ordre peut consommer les charges sur un effet secondaire.
PANACHE	Tous les 5 jeux de cartes dans un même tour : D10→14 à tous ; coût 0.	Récompense le volume et les seuils. Plusieurs déclenchements possibles ; le compteur recommence au tour suivant, contrairement à certains compteurs de reliques.
PANICBUTTON	B30→40 ; interdit le blocage provenant des cartes pendant ce tour et le suivant ; coût 0 ; Épuisement.	Achète une urgence contre dette défensive. Des orbes ou certains pouvoirs peuvent encore protéger ; Artefact préalable peut éviter le malus.
PURITY	Épuise jusqu’à 3→5 cartes choisies en main ; s’épuise aussi ; coût 0.	Nettoie sans bénéfice brut hors synergies. Le nombre est un maximum : supprimer une condition de victoire n’est pas une obligation.
SADISTIC_NATURE	Chaque debuff effectivement appliqué à un ennemi inflige D5→7 ; coût 0.	Convertit la fréquence d’applications en dégâts. Plusieurs rebonds de poison ou effets distincts se distinguent d’un seul gros debuff.
SECRET_TECHNIQUE	Choisit une compétence de la pioche et la met en main ; coût 0 ; Épuisement retiré par amélioration.	Accès précis sans pioche aléatoire. Nécessite une cible disponible et peut assembler des séquences sans déclencher les effets de pioche.
SECRET_WEAPON	Choisit une attaque de la pioche et la met en main ; coût 0 ; Épuisement retiré par amélioration.	Recherche une réponse offensive exacte. Le type autorisé, différent de Secret Technique, détermine quelles combinaisons sont accessibles.
SWIFT_STRIKE	D7→10 ; coût 0.	Attaque universelle simple. L’absence d’énergie ne suffit pas à justifier son acquisition si le deck a surtout besoin de protection ou d’accès.
THE_BOMB	Dans 3 fins de tour joueur, D40→50 à tous.	Compte à rebours de groupe : demande une survie fiable jusqu’à l’explosion. Finir avant l’échéance rend l’investissement inutile.
THINKING_AHEAD	Pioche 2 puis remet une carte en main au-dessus de pioche ; coût 0 ; Épuisement retiré en amélioration.	Sélection et programmation. La version améliorée permet de répéter cette manipulation sans confondre le déplacement avec une création.
TRANSMUTATION	Coût X ; crée X cartes incolores aléatoires en main, gratuites ce tour ; Épuisement ; amélioration : cartes créées améliorées.	Conversion risquée d’énergie en options. Capacité de main et exclusions de génération limitent la promesse ; ne fournit pas tous les jetons spéciaux.
TRIP	Vulnérable 2 sur une cible → toutes ; coût 0.	Ouvre une fenêtre d’attaques sans énergie. L’amélioration apporte une zone, mais ne renforce pas les dégâts hors attaque.
VIOLENCE	Met en main 3→4 attaques aléatoires prises dans la pioche ; coût 0 ; Épuisement.	Accès concentré à l’offensive existante. Ce n’est pas la création d’attaques ; peut vider une pioche pour Grand Finale sans piocher de statut.
BITE	D7→8 ; soin fixe 2→3 ; carte spéciale d’événement.	Le soin n’est pas un pourcentage des dégâts. Peut rentabiliser la temporisation, mais obtenir le paquet a un coût d’événement et de composition du deck.
GHOSTLY	Apparition : Intangible 1 ; Épuisement ; Éthérée retirée en amélioration.	L’amélioration permet d’attendre un meilleur tour sans disparition éthérée. Son obtention en événement échange généralement beaucoup de PV max contre cette défense.
J_A_X	−3 PV ; Force +2→3 ; coût 0 ; carte spéciale d’événement.	Convertit santé en croissance répétable. Le coût demeure même si la Force est déjà suffisante pour gagner.
RITUALDAGGER	D initial 15 ; Fatal augmente définitivement les dégâts de cet exemplaire de 3→5 ; Épuisement.	Récompense l’entraînement par derniers coups. Améliorer tôt augmente les gains futurs ; l’exemplaire, pas toute la famille, porte la croissance.
BETA	Créée par Alpha ; mélange Omega dans la pioche ; Épuisement ; coût 2→1.	Deuxième étape payante d’un moteur. Améliorer Alpha ne produit pas automatiquement Beta améliorée ; Master Reality peut le faire.
EXPUNGER	Créée par Conjure Blade ; coût 1 ; D9→15, N impacts fixé lors de la création par le X du parent.	La quantité d’énergie préparée est stockée dans une attaque réutilisable. Son propre coût n’est pas X et elle ne s’épuise pas naturellement.
INSIGHT	Retain ; pioche 2→3 ; coût 0 ; Épuisement ; produite par Evaluate, Pray ou Study.	Réserve d’accès qui peut attendre un tour riche en énergie. Occupe elle-même une place avant d’être utilisée.
MIRACLE	Retain ; +1→2 énergie ; coût 0 ; Épuisement ; produite par cartes ou reliques Watcher.	Batterie d’énergie stockable. La création de plusieurs jetons est distincte d’un gain direct d’énergie et consomme des places de main.
OMEGA	Créée par Beta ; pouvoir coût 3 ; fin de chaque tour : D50→60 à tous.	Récompense persistante du parcours Alpha/Beta. Ne reçoit pas les multiplicateurs d’attaque des postures ; sa duplication augmente fortement le rendement.
SAFETY	Créée par Deceive Reality ; coût 1 ; Retain ; B12→16 ; Épuisement.	Défense différée disponible au bon moment. Le coût total comprend aussi le parent qui l’a produite.
SHIV	Jeton coût 0 ; D4→6 ; Épuisement ; produit notamment par Blade Dance.	Sa petite taille est compensée par de nombreux déclencheurs. Accuracy, Force et améliorations du jeton sont trois leviers distincts.
SMITE	Jeton coût 1 ; Retain ; D12→16 ; Épuisement ; produit par Carve Reality ou Battle Hymn.	Attaque stockable pour les postures. Retenir et améliorer le jeton renforcent le producteur sans changer son effet immédiat.
THROUGH_VIOLENCE	Créée par Reach Heaven ; coût 0 ; Retain ; D20→30 ; Épuisement.	Grosse récompense différée et stockable. Le temps pour la trouver et le coût du parent expliquent un rendement apparent exceptionnel.
BECOME_ALMIGHTY	Choix de Wish : Force +3→4 ; pas une carte normalement jouable depuis la main.	Option de croissance offensive du même investissement. Ne doit pas être comptée comme un drop indépendant.
FAME_AND_FORTUNE	Choix de Wish : or +25→30 ; pas une carte normalement jouable depuis la main.	Convertit le tour en économie de run. Comparer l’or obtenu aux PV et à la sécurité abandonnés pour l’obtenir.
LIVE_FOREVER	Choix de Wish : Armure plaquée +6→8 ; pas une carte normalement jouable depuis la main.	Protection récurrente mais dégradable par impacts non bloqués. Ce choix ne donne pas chaque tour une nouvelle quantité d’Armure plaquée.
BURN	Statut injouable ; en main à la fin du tour : D2 ; Burn amélioré par Hexaghost : D4.	Nuisance de santé bloquable et de pioche. Burn+ n’est pas une amélioration ordinaire proposée au feu de camp.
DAZED	Statut injouable et Éthéré ; pas d’amélioration.	Perd une pioche puis disparaît du combat s’il reste en main en fin de tour. Peut activer Evolve et l’épuisement.
SLIMED	Statut jouable pour 1 énergie ; son seul effet normal est de s’épuiser ; pas d’amélioration.	Le joueur choisit entre payer maintenant ou laisser la nuisance revenir. Une dette de tempo volontairement visible.
VOID	Statut injouable, Éthéré ; à sa pioche : −1 énergie ; pas d’amélioration.	Dette à l’accès, pas seulement à la fin de tour. Mettre directement en main et piocher ne sont pas interchangeables.
WOUND	Statut injouable ; pas d’amélioration.	Nuisance persistante dans le combat jusqu’à nettoyage. Ne fait pas perdre directement de PV ; son coût provient des mains moins utiles.
ASCENDERSBANE	Malédiction injouable, Éthérée ; impossible à retirer du deck ; pas d’amélioration.	Pénalise surtout le premier cycle et certaines conditions de main. Son épuisement dans un combat n’est pas un retrait permanent.
CLUMSY	Malédiction injouable, Éthérée ; pas d’amélioration.	Nuisance de premier cycle sans dégât direct ; peut avoir un coût de pioche mais un bénéfice d’épuisement selon le moteur.
CURSEOFTHEBELL	Malédiction injouable, impossible à retirer du deck ; pas d’amélioration.	Prix durable d’une récompense externe. L’épuiser pendant un combat reste distinct de la suppression interdite du deck.
DECAY	Malédiction injouable ; en main en fin de tour : D2 bloquables ; pas d’amélioration.	Défense, défausse ou épuisement offrent des réponses différentes. Contrairement à Pain, la sanction n’augmente pas avec le nombre de cartes jouées.
DOUBT	Malédiction injouable ; en main en fin de tour : Faible 1 ; pas d’amélioration.	La nuisance déborde sur l’offensive suivante. Un moteur hors attaques en souffre moins qu’une grosse rafale planifiée.
INJURY	Malédiction injouable sans autre effet ; pas d’amélioration.	Coût pur de densité. Utile comme témoin pour distinguer le malus de pioche des sanctions ajoutées par les autres malédictions.
NECRONOMICURSE	Malédiction injouable, non retirable ; lorsqu’épuisée, une copie revient en main ; pas d’amélioration.	Impossible à nettoyer durablement par épuisement normal ; peut paradoxalement devenir carburant répétable pour certains déclencheurs.
NORMALITY	Malédiction injouable ; tant qu’en main, interdit de jouer au-delà de 3 cartes ce tour ; pas d’amélioration.	Contrainte de main, pas verrou permanent dès le début du tour. La retirer avant la limite ou la piocher tard change complètement la séquence.
PAIN	Malédiction injouable ; en main, chaque autre carte jouée coûte 1 PV ; pas d’amélioration.	Sanctionne le volume de jeu. Un moteur de sacrifice peut l’exploiter, mais le blocage ne paie pas cette perte de PV.
PARASITE	Malédiction injouable ; retrait ou transformation hors combat : −3 PV max ; pas d’amélioration.	Ajoute un coût à la réparation du deck. Épuiser dans un combat ne retire pas définitivement l’exemplaire et ne paie pas cette dette.
PRIDE	Malédiction spéciale du mode sans fin ; coût 1 ; Innée ; Épuisement au jeu ; en main en fin de tour, copie au-dessus de pioche ; pas d’amélioration.	Nuisance proliférante qui demande du nettoyage actif. Son accès spécial explique certaines lacunes de découverte du catalogue.
REGRET	Malédiction injouable ; fin de tour en main : perte de PV égale à la taille de la main restante ; pas d’amélioration.	Punit l’accumulation de cartes. Défausser, jouer ou épuiser avant la fin réduit le coût ; le blocage ne l’absorbe pas.
SHAME	Malédiction injouable ; fin de tour en main : Fragile 1 ; pas d’amélioration.	Affaiblit le blocage des cartes au tour suivant. Les protections qui ne dépendent pas de cette formule offrent une réponse différente.
WRITHE	Malédiction injouable et Innée ; pas d’amélioration.	Impose une place morte à l’ouverture, au moment souvent critique de l’installation. Retrait ou outils de nettoyage ont une valeur immédiate.
